DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
2.9033E-12,000.0000E-3,-13.6132E-12,-10.0000E+0,16.2725E-12,000.0000E-3,25.5879E-12,000.0000E-3,-8.9076E-12,-10.0000E+0,5.3807E-12,-1.0000E+0,25.3354E-12,000.0000E-3,-11.2816E-12,-10.0000E+0,3.6985E-12,-2.0000E+0,12.8357E-12,000.0000E-3,-11.2816E-12,-10.0000E+0,6.5161E-12,-3.0000E+0,12.9620E-12,000.0000E-3,-10.6457E-12,-10.0000E+0,1.0492E-12,-4.0000E+0,21.1268E-12,000.0000E-3,-8.3565E-12,-10.0000E+0,-3.3664E-12,-5.0000E+0,27.2293E-12,000.0000E-3,-7.4239E-12,-10.0000E+0,3.9088E-12,-6.0000E+0
14.5192E-12,-50.0000E-3,-10.8153E-12,-10.0000E+0,14.9268E-12,000.0000E-3,17.6336E-12,-50.0000E-3,-5.7281E-12,-10.0000E+0,-2.0627E-12,-1.0000E+0,11.4890E-12,-50.0000E-3,-8.1870E-12,-10.0000E+0,7.0208E-12,-2.0000E+0,672.7639E-15,-50.0000E-3,-5.0075E-12,-10.0000E+0,2.4790E-12,-3.0000E+0,5.8914E-12,-50.0000E-3,-4.2444E-12,-10.0000E+0,3.7406E-12,-4.0000E+0,4.7972E-12,-50.0000E-3,-2.9727E-12,-10.0000E+0,4.2873E-12,-5.0000E+0,16.3710E-12,-50.0000E-3,-2.6335E-12,-10.0000E+0,1.8061E-12,-6.0000E+0
-589.8337E-15,-100.0000E-3,-9.3315E-12,-10.0000E+0,20.3938E-12,000.0000E-3,21.0426E-12,-100.0000E-3,-3.1846E-12,-10.0000E+0,923.0394E-15,-1.0000E+0,16.2026E-12,-100.0000E-3,-1.7009E-12,-10.0000E+0,8.6608E-12,-2.0000E+0,3.8713E-12,-100.0000E-3,-1.1922E-12,-10.0000E+0,6.9366E-12,-3.0000E+0,8.9217E-12,-100.0000E-3,-1.1074E-12,-10.0000E+0,5.5909E-12,-4.0000E+0,10.8997E-12,-100.0000E-3,-429.1567E-15,-10.0000E+0,4.2032E-12,-5.0000E+0,9.6792E-12,-100.0000E-3,3.0894E-12,-10.0000E+0,7.3992E-12,-6.0000E+0
-4.1251E-12,-150.0000E-3,-6.1945E-12,-10.0000E+0,19.6369E-12,000.0000E-3,11.2364E-12,-150.0000E-3,1.1393E-12,-10.0000E+0,2.3107E-12,-1.0000E+0,9.2584E-12,-150.0000E-3,545.8412E-15,-10.0000E+0,6.2217E-12,-2.0000E+0,-6.0610E-12,-150.0000E-3,1.3513E-12,-10.0000E+0,12.8662E-12,-3.0000E+0,1.7249E-12,-150.0000E-3,2.0295E-12,-10.0000E+0,4.1611E-12,-4.0000E+0,-8.1233E-12,-150.0000E-3,6.9471E-12,-10.0000E+0,7.4413E-12,-5.0000E+0,1.5565E-12,-150.0000E-3,7.7102E-12,-10.0000E+0,1.3015E-12,-6.0000E+0
-5.2614E-12,-200.0000E-3,-7.0424E-12,-10.0000E+0,11.2261E-12,000.0000E-3,2.0616E-12,-200.0000E-3,3.0894E-12,-10.0000E+0,3.5303E-12,-1.0000E+0,6.0177E-12,-200.0000E-3,3.2165E-12,-10.0000E+0,11.1420E-12,-2.0000E+0,-11.5744E-12,-200.0000E-3,7.2438E-12,-10.0000E+0,11.4784E-12,-3.0000E+0,-11.9531E-12,-200.0000E-3,8.1765E-12,-10.0000E+0,5.8012E-12,-4.0000E+0,-8.8808E-12,-200.0000E-3,9.4483E-12,-10.0000E+0,4.4975E-12,-5.0000E+0,-4.8405E-12,-200.0000E-3,8.3461E-12,-10.0000E+0,1.0071E-12,-6.0000E+0
-2.3574E-12,-250.0000E-3,-6.2369E-12,-10.0000E+0,14.5484E-12,000.0000E-3,-3.6621E-12,-250.0000E-3,5.7177E-12,-10.0000E+0,7.7357E-12,-1.0000E+0,-1.8945E-12,-250.0000E-3,6.0992E-12,-10.0000E+0,17.4080E-12,-2.0000E+0,-14.3100E-12,-250.0000E-3,8.1341E-12,-10.0000E+0,15.5576E-12,-3.0000E+0,-13.2999E-12,-250.0000E-3,9.4483E-12,-10.0000E+0,2.3528E-12,-4.0000E+0,-20.3704E-12,-250.0000E-3,9.5755E-12,-10.0000E+0,-3.0720E-12,-5.0000E+0,-8.3758E-12,-250.0000E-3,11.1016E-12,-10.0000E+0,4.6658E-12,-6.0000E+0
-4.6301E-12,-300.0000E-3,-3.1846E-12,-10.0000E+0,15.8520E-12,000.0000E-3,-4.8826E-12,-300.0000E-3,8.0916E-12,-10.0000E+0,5.2124E-12,-1.0000E+0,-14.6046E-12,-300.0000E-3,6.5655E-12,-10.0000E+0,14.5484E-12,-2.0000E+0,-19.2341E-12,-300.0000E-3,6.7775E-12,-10.0000E+0,8.7870E-12,-3.0000E+0,-16.0776E-12,-300.0000E-3,5.8025E-12,-10.0000E+0,8.7870E-12,-4.0000E+0,-20.2863E-12,-300.0000E-3,8.7276E-12,-10.0000E+0,-5.8055E-12,-5.0000E+0,-12.4161E-12,-300.0000E-3,10.7624E-12,-10.0000E+0,292.2246E-15,-6.0000E+0
-126.8811E-15,-350.0000E-3,-3.3542E-12,-10.0000E+0,10.0066E-12,000.0000E-3,-12.4582E-12,-350.0000E-3,5.3786E-12,-10.0000E+0,8.7870E-12,-1.0000E+0,-18.8132E-12,-350.0000E-3,7.1590E-12,-10.0000E+0,13.9176E-12,-2.0000E+0,-20.8334E-12,-350.0000E-3,8.2612E-12,-10.0000E+0,20.0574E-12,-3.0000E+0,-12.9632E-12,-350.0000E-3,8.6852E-12,-10.0000E+0,12.8662E-12,-4.0000E+0,-16.4143E-12,-350.0000E-3,10.0418E-12,-10.0000E+0,4.9601E-12,-5.0000E+0,-12.2057E-12,-350.0000E-3,9.4058E-12,-10.0000E+0,-2.1510E-15,-6.0000E+0
-10.6485E-12,-400.0000E-3,-4.2020E-12,-10.0000E+0,16.7772E-12,000.0000E-3,-10.9010E-12,-400.0000E-3,5.5905E-12,-10.0000E+0,9.4178E-12,-1.0000E+0,-20.4546E-12,-400.0000E-3,7.3710E-12,-10.0000E+0,11.7728E-12,-2.0000E+0,-28.7457E-12,-400.0000E-3,9.0667E-12,-10.0000E+0,15.4735E-12,-3.0000E+0,-17.1298E-12,-400.0000E-3,8.3461E-12,-10.0000E+0,8.2403E-12,-4.0000E+0,-20.3704E-12,-400.0000E-3,8.6428E-12,-10.0000E+0,3.2359E-12,-5.0000E+0,-17.9715E-12,-400.0000E-3,9.9146E-12,-10.0000E+0,5.4227E-12,-6.0000E+0
-13.5103E-12,-450.0000E-3,-1.4889E-12,-10.0000E+0,16.0623E-12,000.0000E-3,-15.4463E-12,-450.0000E-3,8.3036E-12,-10.0000E+0,3.6565E-12,-1.0000E+0,-24.0320E-12,-450.0000E-3,6.9471E-12,-10.0000E+0,15.0530E-12,-2.0000E+0,-27.2726E-12,-450.0000E-3,7.2015E-12,-10.0000E+0,16.0623E-12,-3.0000E+0,-16.3722E-12,-450.0000E-3,8.0069E-12,-10.0000E+0,3.6985E-12,-4.0000E+0,-24.4949E-12,-450.0000E-3,10.4233E-12,-10.0000E+0,880.9897E-15,-5.0000E+0,-16.2039E-12,-450.0000E-3,9.7450E-12,-10.0000E+0,6.6002E-12,-6.0000E+0
