DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
-14.8151E-12,000.0000E-3,8.3876E-12,-1.0000E+0,-1.1380E-12,-3.0000E+0,-32.4493E-12,000.0000E-3,11.6519E-12,-1.0000E+0,5.4223E-12,-2.5000E+0,-44.8228E-12,000.0000E-3,11.2279E-12,-1.0000E+0,5.3382E-12,-2.0000E+0,-49.2840E-12,000.0000E-3,12.0758E-12,-1.0000E+0,7.9876E-12,-1.5000E+0,-51.9775E-12,000.0000E-3,11.3975E-12,-1.0000E+0,6.1372E-12,-1.0000E+0,-53.7031E-12,000.0000E-3,9.5322E-12,-1.0000E+0,3.5299E-12,-500.0000E-3,-49.6207E-12,000.0000E-3,10.3800E-12,-1.0000E+0,8.7025E-12,000.0000E-3
438.0163E-12,50.0000E-3,8.8539E-12,-1.0000E+0,3.0673E-12,-3.0000E+0,620.5983E-12,50.0000E-3,12.4573E-12,-1.0000E+0,544.1203E-15,-2.5000E+0,779.1895E-12,50.0000E-3,12.4149E-12,-1.0000E+0,8.8286E-12,-2.0000E+0,926.5431E-12,50.0000E-3,10.5072E-12,-1.0000E+0,6.8942E-12,-1.5000E+0,1.0690E-9,50.0000E-3,12.5844E-12,-1.0000E+0,6.7680E-12,-1.0000E+0,1.1890E-9,50.0000E-3,10.3377E-12,-1.0000E+0,5.2541E-12,-500.0000E-3,1.3084E-9,50.0000E-3,9.4050E-12,-1.0000E+0,5.0859E-12,000.0000E-3
835.0416E-12,100.0000E-3,10.2953E-12,-1.0000E+0,6.0952E-12,-3.0000E+0,1.1954E-9,100.0000E-3,9.8290E-12,-1.0000E+0,6.8942E-12,-2.5000E+0,1.4962E-9,100.0000E-3,13.9411E-12,-1.0000E+0,12.7817E-12,-2.0000E+0,1.7601E-9,100.0000E-3,11.6942E-12,-1.0000E+0,7.3568E-12,-1.5000E+0,2.0349E-9,100.0000E-3,10.9312E-12,-1.0000E+0,11.5621E-12,-1.0000E+0,2.2465E-9,100.0000E-3,8.6419E-12,-1.0000E+0,11.6462E-12,-500.0000E-3,2.4717E-9,100.0000E-3,11.4823E-12,-1.0000E+0,-1.0959E-12,000.0000E-3
1.1973E-9,150.0000E-3,11.6519E-12,-1.0000E+0,2.7308E-12,-3.0000E+0,1.7056E-9,150.0000E-3,11.6942E-12,-1.0000E+0,3.8663E-12,-2.5000E+0,2.1276E-9,150.0000E-3,11.9486E-12,-1.0000E+0,5.0018E-12,-2.0000E+0,2.5160E-9,150.0000E-3,12.2453E-12,-1.0000E+0,10.2164E-12,-1.5000E+0,2.8658E-9,150.0000E-3,12.3301E-12,-1.0000E+0,11.0995E-12,-1.0000E+0,3.1638E-9,150.0000E-3,10.7616E-12,-1.0000E+0,5.4643E-12,-500.0000E-3,3.4682E-9,150.0000E-3,9.9137E-12,-1.0000E+0,2.8991E-12,000.0000E-3
1.5257E-9,200.0000E-3,10.8888E-12,-1.0000E+0,3.0252E-12,-3.0000E+0,2.1618E-9,200.0000E-3,12.5421E-12,-1.0000E+0,10.1744E-12,-2.5000E+0,2.6911E-9,200.0000E-3,13.8986E-12,-1.0000E+0,5.9690E-12,-2.0000E+0,3.1634E-9,200.0000E-3,11.3975E-12,-1.0000E+0,7.1465E-12,-1.5000E+0,3.5986E-9,200.0000E-3,12.3301E-12,-1.0000E+0,9.8379E-12,-1.0000E+0,3.9755E-9,200.0000E-3,8.9811E-12,-1.0000E+0,7.3147E-12,-500.0000E-3,4.3383E-9,200.0000E-3,9.4050E-12,-1.0000E+0,-3.0725E-12,000.0000E-3
1.8137E-9,250.0000E-3,10.7616E-12,-1.0000E+0,-170.8078E-15,-3.0000E+0,2.5641E-9,250.0000E-3,11.1855E-12,-1.0000E+0,3.2355E-12,-2.5000E+0,3.1977E-9,250.0000E-3,14.4074E-12,-1.0000E+0,8.9127E-12,-2.0000E+0,3.7320E-9,250.0000E-3,12.2453E-12,-1.0000E+0,6.2213E-12,-1.5000E+0,4.2413E-9,250.0000E-3,10.8464E-12,-1.0000E+0,7.9876E-12,-1.0000E+0,4.6781E-9,250.0000E-3,9.8714E-12,-1.0000E+0,9.8800E-12,-500.0000E-3,5.0963E-9,250.0000E-3,12.5844E-12,-1.0000E+0,4.5392E-12,000.0000E-3
2.0809E-9,300.0000E-3,12.2453E-12,-1.0000E+0,-5.5536E-12,-3.0000E+0,2.9361E-9,300.0000E-3,12.5844E-12,-1.0000E+0,1.8898E-12,-2.5000E+0,3.6326E-9,300.0000E-3,13.0084E-12,-1.0000E+0,1.7216E-12,-2.0000E+0,4.2373E-9,300.0000E-3,12.4573E-12,-1.0000E+0,6.0531E-12,-1.5000E+0,4.8022E-9,300.0000E-3,11.8638E-12,-1.0000E+0,1.8057E-12,-1.0000E+0,5.2942E-9,300.0000E-3,10.5920E-12,-1.0000E+0,11.0154E-12,-500.0000E-3,5.7373E-9,300.0000E-3,11.0160E-12,-1.0000E+0,13.0761E-12,000.0000E-3
2.3365E-9,350.0000E-3,11.5670E-12,-1.0000E+0,3.9925E-12,-3.0000E+0,3.2648E-9,350.0000E-3,12.8812E-12,-1.0000E+0,3.6560E-12,-2.5000E+0,4.0260E-9,350.0000E-3,12.5844E-12,-1.0000E+0,2.3103E-12,-2.0000E+0,4.6946E-9,350.0000E-3,10.9736E-12,-1.0000E+0,8.1558E-12,-1.5000E+0,5.3001E-9,350.0000E-3,12.2453E-12,-1.0000E+0,3.0252E-12,-1.0000E+0,5.8150E-9,350.0000E-3,10.1257E-12,-1.0000E+0,2.2262E-12,-500.0000E-3,6.3335E-9,350.0000E-3,10.1681E-12,-1.0000E+0,11.9827E-12,000.0000E-3
2.5461E-9,400.0000E-3,10.6344E-12,-1.0000E+0,-7.4040E-12,-3.0000E+0,3.5629E-9,400.0000E-3,12.4997E-12,-1.0000E+0,4.9597E-12,-2.5000E+0,4.3769E-9,400.0000E-3,13.8563E-12,-1.0000E+0,7.8194E-12,-2.0000E+0,5.0883E-9,400.0000E-3,13.2628E-12,-1.0000E+0,9.7118E-12,-1.5000E+0,5.7334E-9,400.0000E-3,10.6768E-12,-1.0000E+0,4.6653E-12,-1.0000E+0,6.2849E-9,400.0000E-3,10.2529E-12,-1.0000E+0,9.7959E-12,-500.0000E-3,6.8225E-9,400.0000E-3,12.9236E-12,-1.0000E+0,9.9641E-12,000.0000E-3
2.7500E-9,450.0000E-3,11.6519E-12,-1.0000E+0,-339.0205E-15,-3.0000E+0,3.8328E-9,450.0000E-3,12.5421E-12,-1.0000E+0,5.6326E-12,-2.5000E+0,4.6951E-9,450.0000E-3,12.7540E-12,-1.0000E+0,7.5670E-12,-2.0000E+0,5.4393E-9,450.0000E-3,13.0932E-12,-1.0000E+0,6.5157E-12,-1.5000E+0,6.1229E-9,450.0000E-3,11.4399E-12,-1.0000E+0,7.4829E-12,-1.0000E+0,6.7279E-9,450.0000E-3,10.2953E-12,-1.0000E+0,3.7401E-12,-500.0000E-3,7.2834E-9,450.0000E-3,13.6019E-12,-1.0000E+0,7.5670E-12,000.0000E-3
