DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
-17.3405E-12,000.0000E-3,18.6448E-12,1.0000E+0,2.6040E-12,-3.0000E+0,-28.5356E-12,000.0000E-3,12.0740E-12,1.0000E+0,5.2955E-12,-2.5000E+0,-43.5606E-12,000.0000E-3,11.3957E-12,1.0000E+0,-4.7132E-12,-2.0000E+0,-76.0515E-12,000.0000E-3,11.9468E-12,1.0000E+0,12.4026E-12,-1.5000E+0,-93.6016E-12,000.0000E-3,12.9218E-12,1.0000E+0,8.1131E-12,-1.0000E+0,-87.1624E-12,000.0000E-3,11.1837E-12,1.0000E+0,4.9590E-12,-500.0000E-3,-65.4456E-12,000.0000E-3,11.2685E-12,1.0000E+0,2.5620E-12,000.0000E-3
1.2817E-9,50.0000E-3,17.5426E-12,1.0000E+0,1.5527E-12,-3.0000E+0,2.1110E-9,50.0000E-3,13.7697E-12,1.0000E+0,5.1693E-12,-2.5000E+0,3.4553E-9,50.0000E-3,11.8196E-12,1.0000E+0,-3.2612E-15,-2.0000E+0,5.5457E-9,50.0000E-3,13.3881E-12,1.0000E+0,13.6221E-12,-1.5000E+0,8.5433E-9,50.0000E-3,13.4729E-12,1.0000E+0,14.6314E-12,-1.0000E+0,12.2896E-9,50.0000E-3,10.0391E-12,1.0000E+0,6.4309E-12,-500.0000E-3,15.9053E-9,50.0000E-3,12.4555E-12,1.0000E+0,2.6881E-12,000.0000E-3
2.4570E-9,100.0000E-3,16.1013E-12,1.0000E+0,4.8749E-12,-3.0000E+0,4.1230E-9,100.0000E-3,13.6001E-12,1.0000E+0,8.1972E-12,-2.5000E+0,6.7279E-9,100.0000E-3,15.1687E-12,1.0000E+0,-4.5450E-12,-2.0000E+0,10.7210E-9,100.0000E-3,12.9642E-12,1.0000E+0,13.7483E-12,-1.5000E+0,16.4339E-9,100.0000E-3,12.4131E-12,1.0000E+0,11.3933E-12,-1.0000E+0,23.4967E-9,100.0000E-3,13.6001E-12,1.0000E+0,7.0197E-12,-500.0000E-3,30.3201E-9,100.0000E-3,13.2186E-12,1.0000E+0,-3.2834E-12,000.0000E-3
3.5200E-9,150.0000E-3,17.2459E-12,1.0000E+0,5.6319E-12,-3.0000E+0,5.9798E-9,150.0000E-3,13.0066E-12,1.0000E+0,753.7027E-15,-2.5000E+0,9.7713E-9,150.0000E-3,12.4979E-12,1.0000E+0,1.0901E-12,-2.0000E+0,15.4824E-9,150.0000E-3,12.3283E-12,1.0000E+0,12.6549E-12,-1.5000E+0,23.6160E-9,150.0000E-3,14.3208E-12,1.0000E+0,11.3933E-12,-1.0000E+0,33.6507E-9,150.0000E-3,11.9468E-12,1.0000E+0,9.1644E-12,-500.0000E-3,43.2689E-9,150.0000E-3,11.2685E-12,1.0000E+0,3.6974E-12,000.0000E-3
4.4755E-9,200.0000E-3,18.3481E-12,1.0000E+0,8.0290E-12,-3.0000E+0,7.6958E-9,200.0000E-3,15.1262E-12,1.0000E+0,1.4265E-12,-2.5000E+0,12.5635E-9,200.0000E-3,13.0066E-12,1.0000E+0,-6.3954E-12,-2.0000E+0,19.8681E-9,200.0000E-3,13.2186E-12,1.0000E+0,10.5102E-12,-1.5000E+0,30.1780E-9,200.0000E-3,12.4131E-12,1.0000E+0,12.0241E-12,-1.0000E+0,42.8450E-9,200.0000E-3,12.0740E-12,1.0000E+0,15.0520E-12,-500.0000E-3,54.9397E-9,200.0000E-3,11.2685E-12,1.0000E+0,6.9776E-12,000.0000E-3
5.3439E-9,250.0000E-3,18.0938E-12,1.0000E+0,7.3982E-12,-3.0000E+0,9.2581E-9,250.0000E-3,13.1338E-12,1.0000E+0,1.8050E-12,-2.5000E+0,15.1216E-9,250.0000E-3,14.2360E-12,1.0000E+0,-1.7274E-12,-2.0000E+0,23.8756E-9,250.0000E-3,14.0240E-12,1.0000E+0,10.2578E-12,-1.5000E+0,36.1649E-9,250.0000E-3,12.9642E-12,1.0000E+0,8.7439E-12,-1.0000E+0,51.1070E-9,250.0000E-3,12.7523E-12,1.0000E+0,5.1693E-12,-500.0000E-3,65.3452E-9,250.0000E-3,13.4729E-12,1.0000E+0,6.8935E-12,000.0000E-3
6.1307E-9,300.0000E-3,17.8394E-12,1.0000E+0,6.1365E-12,-3.0000E+0,10.6863E-9,300.0000E-3,13.4729E-12,1.0000E+0,5.7160E-12,-2.5000E+0,17.4889E-9,300.0000E-3,12.4131E-12,1.0000E+0,333.1641E-15,-2.0000E+0,27.5483E-9,300.0000E-3,12.3283E-12,1.0000E+0,14.2109E-12,-1.5000E+0,41.5781E-9,300.0000E-3,13.4305E-12,1.0000E+0,11.0148E-12,-1.0000E+0,58.5601E-9,300.0000E-3,12.1163E-12,1.0000E+0,7.8608E-12,-500.0000E-3,74.8046E-9,300.0000E-3,11.9468E-12,1.0000E+0,5.2534E-12,000.0000E-3
6.8364E-9,350.0000E-3,19.0688E-12,1.0000E+0,2.7302E-12,-3.0000E+0,12.0017E-9,350.0000E-3,15.0415E-12,1.0000E+0,5.1273E-12,-2.5000E+0,19.6547E-9,350.0000E-3,12.4555E-12,1.0000E+0,2.9405E-12,-2.0000E+0,30.8809E-9,350.0000E-3,14.0664E-12,1.0000E+0,5.5478E-12,-1.5000E+0,46.4902E-9,350.0000E-3,13.8121E-12,1.0000E+0,10.0896E-12,-1.0000E+0,65.3150E-9,350.0000E-3,12.2011E-12,1.0000E+0,2.3938E-12,-500.0000E-3,83.0907E-9,350.0000E-3,13.4305E-12,1.0000E+0,80.8381E-15,000.0000E-3
7.4710E-9,400.0000E-3,16.4404E-12,1.0000E+0,501.3767E-15,-3.0000E+0,13.1903E-9,400.0000E-3,13.4305E-12,1.0000E+0,6.2207E-12,-2.5000E+0,21.6300E-9,400.0000E-3,16.3132E-12,1.0000E+0,-2.0639E-12,-2.0000E+0,33.9289E-9,400.0000E-3,15.5925E-12,1.0000E+0,4.9590E-12,-1.5000E+0,50.9678E-9,400.0000E-3,13.1338E-12,1.0000E+0,7.9869E-12,-1.0000E+0,71.3615E-9,400.0000E-3,14.1088E-12,1.0000E+0,3.6974E-12,-500.0000E-3,90.6337E-9,400.0000E-3,14.0240E-12,1.0000E+0,7.0617E-12,000.0000E-3
8.0533E-9,450.0000E-3,16.3556E-12,1.0000E+0,7.2720E-12,-3.0000E+0,14.2781E-9,450.0000E-3,12.6674E-12,1.0000E+0,5.1273E-12,-2.5000E+0,23.4480E-9,450.0000E-3,13.1762E-12,1.0000E+0,-1.1387E-12,-2.0000E+0,36.7353E-9,450.0000E-3,12.2860E-12,1.0000E+0,4.4123E-12,-1.5000E+0,55.0175E-9,450.0000E-3,15.3806E-12,1.0000E+0,3.8656E-12,-1.0000E+0,76.8138E-9,450.0000E-3,12.1588E-12,1.0000E+0,3.1507E-12,-500.0000E-3,97.3980E-9,450.0000E-3,13.5153E-12,1.0000E+0,3.8656E-12,000.0000E-3
