DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7),DrainI(8),DrainV(8),BulkI(8),BulkV(8),GateI(8),GateV(8),DrainI(9),DrainV(9),BulkI(9),BulkV(9),GateI(9),GateV(9),DrainI(10),DrainV(10),BulkI(10),BulkV(10),GateI(10),GateV(10),DrainI(11),DrainV(11),BulkI(11),BulkV(11),GateI(11),GateV(11),DrainI(12),DrainV(12),BulkI(12),BulkV(12),GateI(12),GateV(12),DrainI(13),DrainV(13),BulkI(13),BulkV(13),GateI(13),GateV(13),DrainI(14),DrainV(14),BulkI(14),BulkV(14),GateI(14),GateV(14),DrainI(15),DrainV(15),BulkI(15),BulkV(15),GateI(15),GateV(15)
-421.4858E-15,000.0000E-3,37.7241E-12,5.0000E+0,-6.1840E-12,-2.0000E+0,-5.1772E-12,000.0000E-3,17.2485E-12,5.0000E+0,8.7870E-12,-1.5000E+0,-3.5779E-12,000.0000E-3,15.0441E-12,5.0000E+0,6.3900E-12,-1.0000E+0,-547.7459E-15,000.0000E-3,14.5777E-12,5.0000E+0,10.2168E-12,-500.0000E-3,-2.5258E-12,000.0000E-3,14.5777E-12,5.0000E+0,1.0071E-12,000.0000E-3,-13.8891E-12,000.0000E-3,15.5951E-12,5.0000E+0,1.1753E-12,500.0000E-3,-5.4297E-12,000.0000E-3,14.5353E-12,5.0000E+0,7.7777E-12,1.0000E+0,-3.9146E-12,000.0000E-3,13.8147E-12,5.0000E+0,124.0119E-15,1.5000E+0,-4.5459E-12,000.0000E-3,11.7799E-12,5.0000E+0,6.0956E-12,2.0000E+0,-9.9751E-12,000.0000E-3,12.3309E-12,5.0000E+0,10.5112E-12,2.5000E+0,-10.9431E-12,000.0000E-3,13.8995E-12,5.0000E+0,9.4178E-12,3.0000E+0,-6.9028E-12,000.0000E-3,13.9419E-12,5.0000E+0,11.3523E-12,3.5000E+0,-7.3657E-12,000.0000E-3,14.6201E-12,5.0000E+0,6.0115E-12,4.0000E+0,-21.8014E-12,000.0000E-3,12.7125E-12,5.0000E+0,4.7499E-12,4.5000E+0,2.2299E-12,000.0000E-3,14.1538E-12,5.0000E+0,124.0119E-15,5.0000E+0
13.8458E-12,50.0000E-3,33.7815E-12,5.0000E+0,-6.8989E-12,-2.0000E+0,9.2163E-12,50.0000E-3,20.3855E-12,5.0000E+0,15.6417E-12,-1.5000E+0,18.0544E-12,50.0000E-3,18.9442E-12,5.0000E+0,4.7078E-12,-1.0000E+0,15.6555E-12,50.0000E-3,14.6625E-12,5.0000E+0,8.5347E-12,-500.0000E-3,21.3372E-12,50.0000E-3,14.0266E-12,5.0000E+0,1.9743E-12,000.0000E-3,8.4587E-12,50.0000E-3,16.6974E-12,5.0000E+0,2.8575E-12,500.0000E-3,11.7836E-12,50.0000E-3,14.4930E-12,5.0000E+0,4.4975E-12,1.0000E+0,21.8843E-12,50.0000E-3,15.1289E-12,5.0000E+0,-4.8383E-12,1.5000E+0,13.6354E-12,50.0000E-3,12.7549E-12,5.0000E+0,8.9132E-12,2.0000E+0,6.9015E-12,50.0000E-3,14.3658E-12,5.0000E+0,7.4834E-12,2.5000E+0,4.2922E-12,50.0000E-3,12.6277E-12,5.0000E+0,14.2119E-12,3.0000E+0,12.9620E-12,50.0000E-3,13.1788E-12,5.0000E+0,8.8711E-12,3.5000E+0,12.6674E-12,50.0000E-3,12.2462E-12,5.0000E+0,17.6603E-12,4.0000E+0,-7.7866E-12,50.0000E-3,12.8397E-12,5.0000E+0,11.8990E-12,4.5000E+0,12.8357E-12,50.0000E-3,15.5104E-12,5.0000E+0,7.9880E-12,5.0000E+0
36.2779E-12,100.0000E-3,34.6718E-12,5.0000E+0,-6.0999E-12,-2.0000E+0,38.4243E-12,100.0000E-3,18.0115E-12,5.0000E+0,9.2496E-12,-1.5000E+0,39.9394E-12,100.0000E-3,15.8495E-12,5.0000E+0,6.6423E-12,-1.0000E+0,35.8150E-12,100.0000E-3,16.3158E-12,5.0000E+0,10.5953E-12,-500.0000E-3,35.8991E-12,100.0000E-3,17.8420E-12,5.0000E+0,3.9508E-12,000.0000E-3,43.7693E-12,100.0000E-3,14.5777E-12,5.0000E+0,2.8995E-12,500.0000E-3,29.2495E-12,100.0000E-3,14.0266E-12,5.0000E+0,3.0677E-12,1.0000E+0,47.7254E-12,100.0000E-3,13.6451E-12,5.0000E+0,-338.5764E-15,1.5000E+0,29.0811E-12,100.0000E-3,14.2810E-12,5.0000E+0,4.1611E-12,2.0000E+0,22.8523E-12,100.0000E-3,14.7049E-12,5.0000E+0,6.0956E-12,2.5000E+0,35.1837E-12,100.0000E-3,14.6201E-12,5.0000E+0,9.4178E-12,3.0000E+0,42.0017E-12,100.0000E-3,12.7125E-12,5.0000E+0,13.8755E-12,3.5000E+0,34.5524E-12,100.0000E-3,14.8321E-12,5.0000E+0,9.5860E-12,4.0000E+0,17.2969E-12,100.0000E-3,12.7973E-12,5.0000E+0,12.9503E-12,4.5000E+0,28.1973E-12,100.0000E-3,12.5429E-12,5.0000E+0,9.7963E-12,5.0000E+0
52.6916E-12,150.0000E-3,34.5870E-12,5.0000E+0,-2.6935E-12,-2.0000E+0,65.4445E-12,150.0000E-3,18.0115E-12,5.0000E+0,6.0956E-12,-1.5000E+0,58.5419E-12,150.0000E-3,15.8071E-12,5.0000E+0,1.8902E-12,-1.0000E+0,73.9886E-12,150.0000E-3,14.5777E-12,5.0000E+0,10.3010E-12,-500.0000E-3,55.5957E-12,150.0000E-3,16.0191E-12,5.0000E+0,376.3378E-15,000.0000E-3,71.2949E-12,150.0000E-3,15.5528E-12,5.0000E+0,4.0350E-12,500.0000E-3,48.1463E-12,150.0000E-3,14.9169E-12,5.0000E+0,5.9694E-12,1.0000E+0,82.0276E-12,150.0000E-3,13.7723E-12,5.0000E+0,2.1005E-12,1.5000E+0,58.9628E-12,150.0000E-3,12.7549E-12,5.0000E+0,4.4555E-12,2.0000E+0,36.2358E-12,150.0000E-3,13.6875E-12,5.0000E+0,4.7078E-12,2.5000E+0,41.8754E-12,150.0000E-3,11.7375E-12,5.0000E+0,9.1234E-12,3.0000E+0,77.4399E-12,150.0000E-3,14.7473E-12,5.0000E+0,8.8291E-12,3.5000E+0,67.5490E-12,150.0000E-3,14.4506E-12,5.0000E+0,11.2261E-12,4.0000E+0,36.4042E-12,150.0000E-3,12.6700E-12,5.0000E+0,10.9738E-12,4.5000E+0,57.6581E-12,150.0000E-3,15.9343E-12,5.0000E+0,3.5724E-12,5.0000E+0
77.2715E-12,200.0000E-3,30.6445E-12,5.0000E+0,-3.3664E-12,-2.0000E+0,101.9778E-12,200.0000E-3,19.7072E-12,5.0000E+0,11.4364E-12,-1.5000E+0,87.5833E-12,200.0000E-3,17.1637E-12,5.0000E+0,1.6379E-12,-1.0000E+0,109.8905E-12,200.0000E-3,15.4680E-12,5.0000E+0,4.2452E-12,-500.0000E-3,80.0915E-12,200.0000E-3,13.9419E-12,5.0000E+0,3.4882E-12,000.0000E-3,86.0260E-12,200.0000E-3,17.3333E-12,5.0000E+0,7.1469E-12,500.0000E-3,94.1913E-12,200.0000E-3,14.7473E-12,5.0000E+0,4.0350E-12,1.0000E+0,117.4244E-12,200.0000E-3,14.5353E-12,5.0000E+0,-1.0534E-12,1.5000E+0,78.6605E-12,200.0000E-3,14.0690E-12,5.0000E+0,2.1005E-12,2.0000E+0,58.6682E-12,200.0000E-3,15.1713E-12,5.0000E+0,6.2638E-12,2.5000E+0,76.4297E-12,200.0000E-3,12.8820E-12,5.0000E+0,7.1469E-12,3.0000E+0,102.1882E-12,200.0000E-3,14.1538E-12,5.0000E+0,13.3709E-12,3.5000E+0,106.1867E-12,200.0000E-3,11.4407E-12,5.0000E+0,12.8242E-12,4.0000E+0,64.8974E-12,200.0000E-3,13.2212E-12,5.0000E+0,13.5391E-12,4.5000E+0,104.3348E-12,200.0000E-3,13.4755E-12,5.0000E+0,250.1749E-15,5.0000E+0
111.3636E-12,250.0000E-3,31.5348E-12,5.0000E+0,-2.1510E-15,-2.0000E+0,144.4876E-12,250.0000E-3,17.7572E-12,5.0000E+0,5.8433E-12,-1.5000E+0,132.5344E-12,250.0000E-3,17.7148E-12,5.0000E+0,6.4320E-12,-1.0000E+0,137.0379E-12,250.0000E-3,16.9941E-12,5.0000E+0,5.5068E-12,-500.0000E-3,124.3270E-12,250.0000E-3,16.1463E-12,5.0000E+0,-1.5581E-12,000.0000E-3,147.6443E-12,250.0000E-3,16.7397E-12,5.0000E+0,-1.4740E-12,500.0000E-3,162.5859E-12,250.0000E-3,15.6376E-12,5.0000E+0,6.8946E-12,1.0000E+0,161.6178E-12,250.0000E-3,12.7549E-12,5.0000E+0,2.2266E-12,1.5000E+0,113.2576E-12,250.0000E-3,12.0766E-12,5.0000E+0,3.7406E-12,2.0000E+0,93.7704E-12,250.0000E-3,16.1463E-12,5.0000E+0,9.2075E-12,2.5000E+0,110.3956E-12,250.0000E-3,14.2810E-12,5.0000E+0,3.6144E-12,3.0000E+0,157.1564E-12,250.0000E-3,13.1364E-12,5.0000E+0,17.1136E-12,3.5000E+0,140.6575E-12,250.0000E-3,13.3907E-12,5.0000E+0,6.2217E-12,4.0000E+0,114.2678E-12,250.0000E-3,12.9244E-12,5.0000E+0,7.6095E-12,4.5000E+0,125.7160E-12,250.0000E-3,13.3483E-12,5.0000E+0,2.1005E-12,5.0000E+0
151.4323E-12,300.0000E-3,31.0684E-12,5.0000E+0,-5.7214E-12,-2.0000E+0,190.4067E-12,300.0000E-3,17.8844E-12,5.0000E+0,5.2545E-12,-1.5000E+0,193.1424E-12,300.0000E-3,16.4430E-12,5.0000E+0,2.6892E-12,-1.0000E+0,201.0972E-12,300.0000E-3,15.9343E-12,5.0000E+0,8.3665E-12,-500.0000E-3,165.6584E-12,300.0000E-3,15.2136E-12,5.0000E+0,-1.1796E-12,000.0000E-3,190.8696E-12,300.0000E-3,14.8321E-12,5.0000E+0,2.4790E-12,500.0000E-3,247.3530E-12,300.0000E-3,14.0266E-12,5.0000E+0,4.5816E-12,1.0000E+0,220.8791E-12,300.0000E-3,14.7897E-12,5.0000E+0,208.1113E-15,1.5000E+0,150.0854E-12,300.0000E-3,12.4157E-12,5.0000E+0,4.7499E-12,2.0000E+0,154.0839E-12,300.0000E-3,13.3907E-12,5.0000E+0,11.4364E-12,2.5000E+0,162.9226E-12,300.0000E-3,13.1364E-12,5.0000E+0,6.9366E-12,3.0000E+0,192.8057E-12,300.0000E-3,13.8571E-12,5.0000E+0,14.5904E-12,3.5000E+0,165.7425E-12,300.0000E-3,13.8147E-12,5.0000E+0,9.5019E-12,4.0000E+0,135.0176E-12,300.0000E-3,16.5702E-12,5.0000E+0,13.6232E-12,4.5000E+0,185.7769E-12,300.0000E-3,13.5179E-12,5.0000E+0,5.2545E-12,5.0000E+0
199.6662E-12,350.0000E-3,27.7194E-12,5.0000E+0,1.8482E-12,-2.0000E+0,236.9150E-12,350.0000E-3,19.4953E-12,5.0000E+0,3.1098E-12,-1.5000E+0,248.3631E-12,350.0000E-3,18.6898E-12,5.0000E+0,7.4834E-12,-1.0000E+0,255.7287E-12,350.0000E-3,14.8745E-12,5.0000E+0,4.3714E-12,-500.0000E-3,203.9172E-12,350.0000E-3,14.1114E-12,5.0000E+0,-3.1561E-12,000.0000E-3,231.9905E-12,350.0000E-3,18.3083E-12,5.0000E+0,8.1562E-12,500.0000E-3,283.9704E-12,350.0000E-3,13.5179E-12,5.0000E+0,3.5724E-12,1.0000E+0,286.3695E-12,350.0000E-3,15.4256E-12,5.0000E+0,-5.8055E-12,1.5000E+0,207.4106E-12,350.0000E-3,14.4082E-12,5.0000E+0,5.3807E-12,2.0000E+0,215.5338E-12,350.0000E-3,14.1962E-12,5.0000E+0,7.9039E-12,2.5000E+0,218.9009E-12,350.0000E-3,12.2037E-12,5.0000E+0,5.6330E-12,3.0000E+0,288.0530E-12,350.0000E-3,13.3060E-12,5.0000E+0,10.0907E-12,3.5000E+0,215.7021E-12,350.0000E-3,12.0766E-12,5.0000E+0,13.1606E-12,4.0000E+0,188.5968E-12,350.0000E-3,13.4332E-12,5.0000E+0,10.3430E-12,4.5000E+0,256.3600E-12,350.0000E-3,14.7473E-12,5.0000E+0,-2.2730E-12,5.0000E+0
259.3905E-12,400.0000E-3,28.8216E-12,5.0000E+0,-4.5859E-12,-2.0000E+0,317.9783E-12,400.0000E-3,17.7572E-12,5.0000E+0,2.0584E-12,-1.5000E+0,314.1061E-12,400.0000E-3,16.7821E-12,5.0000E+0,7.6516E-12,-1.0000E+0,311.4966E-12,400.0000E-3,15.7647E-12,5.0000E+0,4.1190E-12,-500.0000E-3,266.7560E-12,400.0000E-3,15.8919E-12,5.0000E+0,-1.0534E-12,000.0000E-3,290.7047E-12,400.0000E-3,16.1463E-12,5.0000E+0,4.2873E-12,500.0000E-3,383.4266E-12,400.0000E-3,15.8495E-12,5.0000E+0,1.5958E-12,1.0000E+0,370.8420E-12,400.0000E-3,14.1114E-12,5.0000E+0,-2.6935E-12,1.5000E+0,278.7093E-12,400.0000E-3,14.4082E-12,5.0000E+0,880.9897E-15,2.0000E+0,285.6961E-12,400.0000E-3,12.7549E-12,5.0000E+0,13.8755E-12,2.5000E+0,290.1575E-12,400.0000E-3,15.3832E-12,5.0000E+0,6.0535E-12,3.0000E+0,313.3485E-12,400.0000E-3,11.9070E-12,5.0000E+0,10.5112E-12,3.5000E+0,292.8512E-12,400.0000E-3,13.3060E-12,5.0000E+0,12.7821E-12,4.0000E+0,238.5985E-12,400.0000E-3,11.5255E-12,5.0000E+0,15.9782E-12,4.5000E+0,328.2059E-12,400.0000E-3,13.1788E-12,5.0000E+0,-4.8803E-12,5.0000E+0
316.0843E-12,450.0000E-3,29.7543E-12,5.0000E+0,-1.0114E-12,-2.0000E+0,376.3136E-12,450.0000E-3,19.1985E-12,5.0000E+0,2.0584E-12,-1.5000E+0,390.5817E-12,450.0000E-3,16.1039E-12,5.0000E+0,2.4369E-12,-1.0000E+0,357.9628E-12,450.0000E-3,15.9767E-12,5.0000E+0,10.5533E-12,-500.0000E-3,336.8341E-12,450.0000E-3,15.5104E-12,5.0000E+0,-5.1747E-12,000.0000E-3,394.9169E-12,450.0000E-3,15.3832E-12,5.0000E+0,8.1142E-12,500.0000E-3,421.8117E-12,450.0000E-3,14.3234E-12,5.0000E+0,7.2310E-12,1.0000E+0,459.3129E-12,450.0000E-3,14.6625E-12,5.0000E+0,-927.3277E-15,1.5000E+0,384.6893E-12,450.0000E-3,13.4332E-12,5.0000E+0,2.0584E-12,2.0000E+0,324.4600E-12,450.0000E-3,13.7299E-12,5.0000E+0,17.3239E-12,2.5000E+0,341.1693E-12,450.0000E-3,12.3733E-12,5.0000E+0,5.2545E-12,3.0000E+0,400.0517E-12,450.0000E-3,15.1289E-12,5.0000E+0,14.5484E-12,3.5000E+0,397.1476E-12,450.0000E-3,12.8820E-12,5.0000E+0,6.2217E-12,4.0000E+0,311.3282E-12,450.0000E-3,13.3483E-12,5.0000E+0,12.9083E-12,4.5000E+0,373.7040E-12,450.0000E-3,13.6875E-12,5.0000E+0,334.2743E-15,5.0000E+0
