DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
-9.4703E-12,000.0000E-3,16.3556E-12,2.0000E+0,6.8935E-12,-3.0000E+0,-13.1740E-12,000.0000E-3,8.8945E-12,2.0000E+0,1.9312E-12,-2.5000E+0,-27.6097E-12,000.0000E-3,9.7424E-12,2.0000E+0,6.9356E-12,-2.0000E+0,-53.3668E-12,000.0000E-3,9.2336E-12,2.0000E+0,3.6554E-12,-1.5000E+0,-66.7082E-12,000.0000E-3,10.4630E-12,2.0000E+0,-45.3248E-15,-1.0000E+0,-50.3786E-12,000.0000E-3,10.1239E-12,2.0000E+0,4.9590E-12,-500.0000E-3,-28.4514E-12,000.0000E-3,11.4805E-12,2.0000E+0,6.3048E-12,000.0000E-3
1.2654E-9,50.0000E-3,16.4828E-12,2.0000E+0,3.0666E-12,-3.0000E+0,2.0562E-9,50.0000E-3,10.8870E-12,2.0000E+0,4.1180E-12,-2.5000E+0,3.3066E-9,50.0000E-3,8.8097E-12,2.0000E+0,4.6226E-12,-2.0000E+0,5.2546E-9,50.0000E-3,10.4630E-12,2.0000E+0,3.2769E-12,-1.5000E+0,8.0864E-9,50.0000E-3,10.6326E-12,2.0000E+0,12.0662E-12,-1.0000E+0,11.6385E-9,50.0000E-3,10.5054E-12,2.0000E+0,3.4871E-12,-500.0000E-3,15.0241E-9,50.0000E-3,9.8696E-12,2.0000E+0,4.9590E-12,000.0000E-3
2.4098E-9,100.0000E-3,15.8469E-12,2.0000E+0,5.7581E-12,-3.0000E+0,3.9931E-9,100.0000E-3,11.3109E-12,2.0000E+0,-2.9890E-12,-2.5000E+0,6.4199E-9,100.0000E-3,10.1239E-12,2.0000E+0,4.6647E-12,-2.0000E+0,10.1705E-9,100.0000E-3,9.5728E-12,2.0000E+0,8.3654E-12,-1.5000E+0,15.5498E-9,100.0000E-3,10.2935E-12,2.0000E+0,13.7904E-12,-1.0000E+0,22.2445E-9,100.0000E-3,9.6152E-12,2.0000E+0,3.6974E-12,-500.0000E-3,28.5565E-9,100.0000E-3,11.9891E-12,2.0000E+0,4.7488E-12,000.0000E-3
3.4470E-9,150.0000E-3,15.1687E-12,2.0000E+0,291.1144E-15,-3.0000E+0,5.7894E-9,150.0000E-3,10.0391E-12,2.0000E+0,10.0476E-12,-2.5000E+0,9.3182E-9,150.0000E-3,10.8021E-12,2.0000E+0,4.1600E-12,-2.0000E+0,14.6991E-9,150.0000E-3,10.5054E-12,2.0000E+0,3.6974E-12,-1.5000E+0,22.3687E-9,150.0000E-3,11.7348E-12,2.0000E+0,10.2578E-12,-1.0000E+0,31.8107E-9,150.0000E-3,9.6576E-12,2.0000E+0,5.0852E-12,-500.0000E-3,40.6756E-9,150.0000E-3,11.9468E-12,2.0000E+0,7.3982E-12,000.0000E-3
4.3817E-9,200.0000E-3,14.8719E-12,2.0000E+0,-1.9798E-12,-3.0000E+0,7.4344E-9,200.0000E-3,10.8446E-12,2.0000E+0,8.1131E-12,-2.5000E+0,11.9920E-9,200.0000E-3,10.0391E-12,2.0000E+0,5.0432E-12,-2.0000E+0,18.8478E-9,200.0000E-3,10.8870E-12,2.0000E+0,5.2534E-12,-1.5000E+0,28.5624E-9,200.0000E-3,10.9717E-12,2.0000E+0,3.1507E-12,-1.0000E+0,40.4468E-9,200.0000E-3,10.5479E-12,2.0000E+0,6.8935E-12,-500.0000E-3,51.6259E-9,200.0000E-3,9.9119E-12,2.0000E+0,4.9170E-12,000.0000E-3
5.2198E-9,250.0000E-3,14.7023E-12,2.0000E+0,-339.6866E-15,-3.0000E+0,8.9361E-9,250.0000E-3,11.3109E-12,2.0000E+0,4.7908E-12,-2.5000E+0,14.4569E-9,250.0000E-3,9.9119E-12,2.0000E+0,4.3282E-12,-2.0000E+0,22.6557E-9,250.0000E-3,10.0391E-12,2.0000E+0,6.6832E-12,-1.5000E+0,34.1953E-9,250.0000E-3,9.6576E-12,2.0000E+0,5.0011E-12,-1.0000E+0,48.2871E-9,250.0000E-3,11.4805E-12,2.0000E+0,5.5478E-12,-500.0000E-3,61.3658E-9,250.0000E-3,11.1413E-12,2.0000E+0,-718.1894E-15,000.0000E-3
5.9942E-9,300.0000E-3,14.0664E-12,2.0000E+0,3.6974E-12,-3.0000E+0,10.3138E-9,300.0000E-3,10.1663E-12,2.0000E+0,5.3375E-12,-2.5000E+0,16.7116E-9,300.0000E-3,10.1239E-12,2.0000E+0,8.2813E-12,-2.0000E+0,26.1251E-9,300.0000E-3,11.4805E-12,2.0000E+0,5.6740E-12,-1.5000E+0,39.3129E-9,300.0000E-3,9.8696E-12,2.0000E+0,3.6133E-12,-1.0000E+0,55.2517E-9,300.0000E-3,10.8446E-12,2.0000E+0,5.4637E-12,-500.0000E-3,70.1852E-9,300.0000E-3,12.0316E-12,2.0000E+0,5.7581E-12,000.0000E-3
6.6881E-9,350.0000E-3,12.2860E-12,2.0000E+0,-213.5375E-15,-3.0000E+0,11.5684E-9,350.0000E-3,10.5479E-12,2.0000E+0,164.9514E-15,-2.5000E+0,18.7793E-9,350.0000E-3,10.0391E-12,2.0000E+0,3.4030E-12,-2.0000E+0,29.3057E-9,350.0000E-3,12.3707E-12,2.0000E+0,8.3233E-12,-1.5000E+0,43.9612E-9,350.0000E-3,11.3533E-12,2.0000E+0,8.2813E-12,-1.0000E+0,61.5938E-9,350.0000E-3,10.3359E-12,2.0000E+0,12.2764E-12,-500.0000E-3,78.0703E-9,350.0000E-3,9.0641E-12,2.0000E+0,2.2676E-12,000.0000E-3
7.3105E-9,400.0000E-3,14.7023E-12,2.0000E+0,4.7908E-12,-3.0000E+0,12.7149E-9,400.0000E-3,10.4630E-12,2.0000E+0,9.2906E-12,-2.5000E+0,20.6617E-9,400.0000E-3,10.8446E-12,2.0000E+0,-87.3745E-15,-2.0000E+0,32.2072E-9,400.0000E-3,10.2935E-12,2.0000E+0,5.0852E-12,-1.5000E+0,48.1272E-9,400.0000E-3,10.0391E-12,2.0000E+0,10.2999E-12,-1.0000E+0,67.2323E-9,400.0000E-3,11.2685E-12,2.0000E+0,15.7248E-12,-500.0000E-3,84.9612E-9,400.0000E-3,7.9194E-12,2.0000E+0,5.3796E-12,000.0000E-3
7.8851E-9,450.0000E-3,12.3283E-12,2.0000E+0,7.6084E-12,-3.0000E+0,13.7644E-9,450.0000E-3,10.0815E-12,2.0000E+0,15.1361E-12,-2.5000E+0,22.3979E-9,450.0000E-3,11.6077E-12,2.0000E+0,4.5385E-12,-2.0000E+0,34.8589E-9,450.0000E-3,11.3109E-12,2.0000E+0,7.3561E-12,-1.5000E+0,52.0039E-9,450.0000E-3,10.2510E-12,2.0000E+0,2.5199E-12,-1.0000E+0,72.4412E-9,450.0000E-3,10.4630E-12,2.0000E+0,14.2109E-12,-500.0000E-3,91.3210E-9,450.0000E-3,12.3283E-12,2.0000E+0,6.4730E-12,000.0000E-3
